                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 3.3625,                 5.1573,                 3.8548,                0.00392,                0.03976,                0.00764,                0.00094,                 3.2536,                  4.623,                 3.8324,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                 3.3463,                 5.0318,                 3.8328,                0.00447,                0.04247,                0.00558,                0.00077,                 3.2514,                 4.6176,                  3.829,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                  3.374,                 5.1195,                 3.8179,                0.00363,                0.04183,                0.00418,                0.00066,                 3.2489,                 4.6113,                 3.8262,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                 3.4198,                 5.0542,                 3.8496,                 0.2966,                0.01388,                0.00223,                0.00047,                 3.2487,                 4.6074,                 3.8236,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                 3.3874,                 5.0417,                 3.8291,                0.01086,                0.04361,                0.00855,                0.00159,                 3.2461,                 4.5979,                 3.8216,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                 3.3805,                 5.1455,                 3.8128,                0.00544,                 0.0431,                0.00935,                0.00155,                 3.2447,                 4.5891,                 3.8192,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                 3.3667,                 5.1024,                 3.8306,                 0.0033,                0.05825,                0.00559,                 0.0011,                 3.2428,                 4.5954,                 3.8223,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                 3.3892,                  5.123,                 3.8278,                0.00275,                0.06422,                0.00494,                0.00109,                 3.2421,                 4.5944,                 3.8199,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                 3.3428,                 5.1005,                 3.8139,                0.00258,                0.06182,                0.00485,                 0.0011,                 3.2412,                 4.5833,                 3.8141,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                 3.4165,                 5.0488,                 3.8246,                0.41267,                0.00895,                0.00568,                0.00117,                 3.2384,                 4.5726,                 3.8095,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                 3.4247,                 5.0845,                 3.8143,                0.40044,                0.00614,                0.00632,                0.00127,                 3.2363,                 4.5674,                 3.8063,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                 3.3901,                 4.9755,                 3.8235,                0.00279,                0.05927,                0.00697,                0.00128,                 3.2323,                 4.5664,                  3.806,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                 3.4054,                 5.0897,                 3.8442,                0.00287,                0.05524,                0.00644,                0.00125,                 3.2351,                 4.5648,                 3.8076,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                 3.3541,                 5.0737,                 3.8258,                0.00336,                0.05882,                0.00727,                0.00152,                 3.2316,                 4.5671,                 3.8041,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                 3.2765,                 5.1213,                 3.8409,                0.00367,                0.06126,                0.00756,                0.00163,                 3.2297,                 4.5642,                 3.8016,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                 3.3408,                 5.0869,                  3.795,                0.00342,                0.06228,                 0.0067,                0.00146,                 3.2305,                  4.567,                 3.8013,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                 3.3707,                 5.0858,                 3.7815,                0.00313,                0.06298,                0.00629,                0.00146,                 3.2306,                 4.5629,                 3.7977,             1.6505e-05,             1.6505e-05,             1.6505e-05
