                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.3752,                 3.5671,                 1.3604,                0.28878,                0.48692,                0.37026,                0.20778,                 1.5161,                 3.2048,                 1.4968,              0.0099935,              0.0099935,              0.0099935
                     68,                 1.3091,                 3.6657,                  1.339,                0.26998,                0.44402,                0.35154,                0.25413,                 1.0934,                 2.9115,                 1.2239,              0.0099934,              0.0099934,              0.0099934
                     69,                 1.2652,                 3.4584,                 1.3084,                0.34849,                0.65061,                0.54511,                0.43816,                0.90649,                 2.4576,                 1.1191,              0.0099933,              0.0099933,              0.0099933
                     70,                 1.2921,                 3.3595,                 1.2805,                0.37435,                0.58712,                0.51469,                0.35631,                 1.1911,                 2.8406,                 1.2692,              0.0099932,              0.0099932,              0.0099932
                     71,                 1.2565,                 3.3204,                 1.2689,                0.41442,                0.60537,                 0.5859,                 0.4671,                0.94295,                  2.354,                 1.1428,              0.0099931,              0.0099931,              0.0099931
                     72,                 1.2085,                 3.2406,                 1.2624,                0.46601,                0.65389,                0.56618,                0.44832,                0.96295,                 2.4271,                  1.153,               0.009993,               0.009993,               0.009993
                     73,                 1.3014,                 3.4713,                 1.3116,                0.48754,                0.56748,                0.60599,                0.49136,                  0.912,                 2.2143,                 1.1161,              0.0099929,              0.0099929,              0.0099929
                     74,                 1.2513,                 3.3408,                 1.2353,                0.50019,                0.54592,                 0.6016,                0.44626,                 1.0743,                 2.2818,                  1.212,              0.0099928,              0.0099928,              0.0099928
                     75,                 1.2537,                 3.1791,                  1.241,                0.37227,                0.69156,                0.64442,                0.52613,                0.93813,                 2.2581,                 1.1312,              0.0099927,              0.0099927,              0.0099927
                     76,                 1.2356,                 3.2659,                 1.2496,                0.50245,                0.63417,                  0.681,                0.50121,                 1.1505,                 2.2059,                 1.3007,              0.0099926,              0.0099926,              0.0099926
                     77,                  1.298,                 3.2847,                 1.2895,                0.33735,                0.69461,                0.62531,                0.45267,                 1.2922,                 2.2307,                 1.3375,              0.0099925,              0.0099925,              0.0099925
                     78,                   1.17,                 3.0215,                 1.2297,                0.42134,                0.63441,                0.64077,                0.50069,                0.99909,                 2.1004,                 1.1785,              0.0099924,              0.0099924,              0.0099924
                     79,                 1.2071,                 3.0299,                 1.2352,                0.36554,                0.74809,                 0.6693,                0.52854,                0.98615,                 2.1272,                 1.1552,              0.0099923,              0.0099923,              0.0099923
                     80,                 1.1725,                   3.07,                 1.2226,                0.47368,                 0.6129,                0.63615,                0.49073,                 1.0112,                 2.1602,                 1.1449,              0.0099922,              0.0099922,              0.0099922
                     81,                 1.2514,                 2.9664,                 1.2178,                0.30273,                0.54478,                0.44072,                0.27758,                 1.6834,                 3.2829,                  1.598,              0.0099921,              0.0099921,              0.0099921
                     82,                  1.238,                 3.1146,                 1.2516,                0.47144,                0.62942,                0.71402,                0.56917,                0.88528,                 2.1209,                 1.1212,               0.009992,               0.009992,               0.009992
                     83,                 1.1485,                 2.8919,                 1.1982,                 0.4596,                0.59879,                0.62128,                0.44068,                 1.3239,                 2.7504,                 1.3609,              0.0099919,              0.0099919,              0.0099919
                     84,                  1.132,                 3.0141,                 1.2059,                0.40926,                0.74571,                 0.7387,                0.56726,                0.95828,                 2.1425,                 1.1471,              0.0099918,              0.0099918,              0.0099918
                     85,                 1.2021,                 3.1344,                 1.2386,                0.47739,                0.71017,                0.73091,                0.58081,                0.89811,                 2.1389,                 1.1119,              0.0099917,              0.0099917,              0.0099917
                     86,                 1.1827,                 3.1786,                  1.244,                0.39854,                0.74885,                0.74654,                0.58957,                0.95583,                 2.1439,                 1.1326,              0.0099916,              0.0099916,              0.0099916
